Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2018,1,14.2,32,405,49.13,8.21
2018,2,15.1,28,406,57.28,7.67
2018,3,18.4,20,407,52.81,9.56
2018,4,22.0,15,409,43.86,5.54
2018,5,26.3,10,411,49.69,5.60
2018,6,30.1,5,412,49.68,9.34
2018,7,33.4,2,413,53.23,7.91
2018,8,32.0,3,414,47.20,10.21
2018,9,28.5,8,415,57.95,6.29
2018,10,23.2,18,416,52.95,8.97
2018,11,18.0,25,417,56.11,8.83
2018,12,15.0,30,418,55.63,9.74
2019,1,14.5,31,412,55.91,7.07
2019,2,15.8,27,413,53.91,9.80
2019,3,19.2,21,414,45.39,6.66
2019,4,23.1,13,416,42.43,8.75
2019,5,27.0,9,418,41.86,9.08
2019,6,30.5,6,419,56.16,7.04
2019,7,34.0,2,420,49.36,8.69
2019,8,33.2,3,421,54.73,6.31
2019,9,29.1,9,422,52.44,8.95
2019,10,24.0,17,423,47.88,6.21
2019,11,18.7,26,424,55.55,9.61
2019,12,15.2,32,425,54.46,7.18
2020,1,15.0,35,419,58.49,8.31
2020,2,16.2,29,420,56.61,7.25
2020,3,20.1,18,421,51.01,9.16
2020,4,24.0,12,423,44.24,8.82
2020,5,28.4,8,425,45.52,8.63
2020,6,31.0,4,426,47.03,9.74
2020,7,35.0,1,427,45.47,10.29
2020,8,34.5,2,428,44.64,7.45
2020,9,30.0,7,429,56.79,5.92
2020,10,25.1,16,430,51.02,6.36
2020,11,19.2,24,431,47.29,6.19
2020,12,15.8,33,432,48.63,8.08
2021,1,15.3,34,426,57.38,10.07
2021,2,16.6,28,427,56.45,6.60
2021,3,20.5,21,428,53.31,8.64
2021,4,24.8,11,430,40.54,5.45
2021,5,29.1,7,432,48.98,7.57
2021,6,31.7,4,433,53.37,7.42
2021,7,35.8,1,434,54.48,7.14
2021,8,35.0,2,435,53.95,9.55
2021,9,30.5,6,436,45.85,8.42
2021,10,25.8,15,437,41.42,6.17
2021,11,19.8,23,438,53.40,6.25
2021,12,16.1,31,439,52.36,10.85
2022,1,15.7,33,433,57.54,8.58
2022,2,17.1,26,434,54.21,9.42
2022,3,21.0,19,435,54.47,7.80
2022,4,25.4,10,437,48.26,8.07
2022,5,30.0,6,439,39.62,6.73
2022,6,32.5,3,440,44.57,7.70
2022,7,36.2,1,441,45.75,8.69
2022,8,35.6,2,442,45.26,6.48
2022,9,31.0,5,443,54.98,9.54
2022,10,26.2,14,444,42.82,6.23
2022,11,20.0,22,445,48.80,9.74
2022,12,16.5,30,446,51.50,6.86
2023,1,16.0,32,447,55.75,9.43
2023,2,17.4,25,448,45.37,7.10
2023,3,21.6,18,449,42.81,7.69
2023,4,26.0,9,451,41.33,8.87
2023,5,30.8,5,453,45.55,9.18
2023,6,33.1,3,454,47.73,6.12
2023,7,37.0,1,455,48.54,6.57
2023,8,36.3,2,456,49.42,10.04
2023,9,31.5,4,457,54.01,9.67
2023,10,26.8,13,458,41.38,6.89
2023,11,20.5,21,459,45.70,8.10
2023,12,16.9,29,460,52.09,9.68
